
System booting Weldmaster Version 5.22.0.Beta-f0ed40221 id f0ed40221  ... 

START| 09.01.2024 - 16:14:25.923 | GrabberMod | Modul GrabberModul wurde gestartet.
DEBUG| 09.01.2024 - 16:14:25.950 | GrabberMod | registered: /ImageShMemWM-QNX-PC with 1324505961
START| 09.01.2024 - 16:14:26.308 | CHRCommuni | Modul CHRCommunicationModul wurde gestartet.
DEBUG| 09.01.2024 - 16:14:26.313 | CHRCommuni | m_oIDMDevice1Enable (bool): 0
DEBUG| 09.01.2024 - 16:14:26.313 | CHRCommuni | m_oIDMDevice1IpAdress (string): 192.168.170.2
DEBUG| 09.01.2024 - 16:14:26.313 | CHRCommuni | m_oCLS2Device1Enable (bool): 0
DEBUG| 09.01.2024 - 16:14:26.313 | CHRCommuni | m_oCLS2Device1IpAddress (string): 192.168.170.3
DEBUG| 09.01.2024 - 16:14:27.648 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper-2Pins-Backup.xml )
DEBUG| 09.01.2024 - 16:14:27.651 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper-2Pins-V3.xml )
DEBUG| 09.01.2024 - 16:14:27.662 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper-2Pins-v2.xml )
DEBUG| 09.01.2024 - 16:14:27.677 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper-2Pins.xml )
DEBUG| 09.01.2024 - 16:14:28.185 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper-8x.xml )
DEBUG| 09.01.2024 - 16:14:28.189 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper-6x.xml )
DEBUG| 09.01.2024 - 16:14:28.474 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Caliper_hairpin_macro_v1.xml )
DEBUG| 09.01.2024 - 16:14:28.543 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Display Algo Status.xml )
DEBUG| 09.01.2024 - 16:14:28.550 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/HairPin Detection V3.4.xml )
DEBUG| 09.01.2024 - 16:14:28.733 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Metrology Matching Demo.xml )
DEBUG| 09.01.2024 - 16:14:28.778 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Move Scanner to Position - with Skip.xml )
DEBUG| 09.01.2024 - 16:14:28.826 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/SwitchCase 0 to 15.xml )
DEBUG| 09.01.2024 - 16:14:28.854 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/macros/Transfer mm to px 2.xml )
DEBUG| 09.01.2024 - 16:14:32.115 | UserInterf | TModule<MsgServer>::startServer reActivating Event Results with protocol ProcessInfo[ CHID: 0 - PID: 45669 - Node: localNode] using: xFerMemSIMULATION4
DEBUG| 09.01.2024 - 16:14:32.123 | UserInterf | TModule<MsgServer>::startServer reActivating Event Recorder with protocol ProcessInfo[ CHID: 0 - PID: 45669 - Node: localNode] using: xFerMemSIMULATION3
DEBUG| 09.01.2024 - 16:14:32.127 | UserInterf | TModule<MsgServer>::startServer reActivating Event SystemStatus with protocol ProcessInfo[ CHID: 0 - PID: 45669 - Node: localNode] using: xFerMemSIMULATION6
DEBUG| 09.01.2024 - 16:14:32.697 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/Debug_Graph_V2.xml )
DEBUG| 09.01.2024 - 16:14:32.697 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/DummyOCT.xml )
DEBUG| 09.01.2024 - 16:14:32.697 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/Fallback Step 1 Coordinates From Json Manual offset + End of Seam.xml )
DEBUG| 09.01.2024 - 16:14:32.698 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/Fallback Step 3 Welding v5 End of Seam.xml )
DEBUG| 09.01.2024 - 16:14:32.700 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/FiducialDetection.xml )
DEBUG| 09.01.2024 - 16:14:32.704 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/Graph_TaskPort.xml )
DEBUG| 09.01.2024 - 16:14:32.705 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/Caliper-6x_build_graph.xml )
DEBUG| 09.01.2024 - 16:14:32.706 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection Laserline V2.1.xml )
DEBUG| 09.01.2024 - 16:14:32.716 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection Laserline V2.2.xml )
DEBUG| 09.01.2024 - 16:14:32.773 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection Laserline V2.3.xml )
DEBUG| 09.01.2024 - 16:14:32.816 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection Laserline V2.4.xml )
DEBUG| 09.01.2024 - 16:14:32.833 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection Laserline.xml )
DEBUG| 09.01.2024 - 16:14:32.885 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection ST66-ROI-from-DummyPosition.xml )
DEBUG| 09.01.2024 - 16:14:32.928 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection SpecialPin V2.1.xml )
DEBUG| 09.01.2024 - 16:14:33.066 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection SpecialPin V2.2.xml )
DEBUG| 09.01.2024 - 16:14:33.083 | UserInterf | XmlGraphBuilder::build( /home/developer/git/weldmaster/qnx/wm_inst/config/graphs/HairPin Detection SpecialPin V2.3.xml )
